title,url,rating,votes,title_lemmas,Жанр,Режиссер,Продюсер,Сценарист,Композитор,Страна,Монтажер,Художник-постановщик,Оператор,Формат,Год,Хронометраж,Сборы в России,Зрители в России,Бюджет,Сборы в мире,Сборы в США,Дата релиза в РФ,Мировая премьера,Релиз на DVD,Релиз на Blu-Ray,Дата ре-релиза в РФ
"Папа, сдохни",https://www.filmpro.ru/movies/342811,9.9,10467,"['папа', 'сдохнуть']",['Комедия'],['Кирилл Соколов'],"['Софико Кикнавелидзе', 'Елена Геладзе']",['Кирилл Соколов'],[],['Россия'],[],"['Наталья Белоусова', 'Виктор Зудин']",['Дмитрий Улюкаев'],[],2018,100.0,,,,,,2019,,,,
Золотая перчатка,https://www.filmpro.ru/movies/343787,9.8,6293,"['золотой', 'перчатка']","['Драма', 'Триллер', 'Ужасы', 'Криминал']",['Фатих Акин'],"['Фатих Акин', 'Клаус Спиннлер']","['Фатих Акин', 'Хайнц Штрунк']",[],"['Германия', 'Франция']",['Эндрю Бёрд'],['Тамо Кунц'],['Райнер Клаусманн'],[],2019,115.0,,,,,,2019,2019.0,,,
Шевели ластами 2,https://www.filmpro.ru/movies/8556,9.5,169,"['шевели', 'ласт']","['Мультфильм', 'Приключения']","['Бен Стассен', 'Винсент Кестелут']","['Домоник Парис', 'Джина Галло', 'Мими Мэйнард']",['Домоник Парис'],['Рамин Джавади'],[],[],[],[],"['2D', '3D']",2012,92.0,2644182.0,447321.0,,,,2012,2012.0,2013.0,2013.0,
Упс... Ной уплыл!,https://www.filmpro.ru/movies/334010,9.5,170,"['упс', 'ной', 'уплыть']","['Комедия', 'Мультфильм', 'Приключения']","['Тоби Генкель', 'Шон МакКормак']","['Жан Гуссен', 'Яна Бол', 'Эмели Кристианс']","['Марк Ходкинсон', 'Тоби Генкель', 'Франциска Фриде']",['Стефен МакКеон'],"['Люксембург', 'Ирландия', 'Германия', 'Бельгия']",['Франциска Фриде'],[],[],"['2D', '3D']",2015,87.0,1291796.0,452640.0,,,,2015,2015.0,,,
Ледниковый период 2: Глобальное потепление,https://www.filmpro.ru/movies/8843,9.5,316,"['ледниковый', 'период', 'глобальный', 'потепление']","['Боевик', 'Мультфильм', 'Приключения']",['Карлос Салдана'],[],[],['Уилл Эванс'],['США'],[],[],[],[],2006,91.0,17255243.0,4423445.0,80000000.0,623829763.0,195330621.0,2006,2006.0,2011.0,,
Шевели ластами!,https://www.filmpro.ru/movies/6190,9.5,197,"['шевели', 'ласт']","['Мультфильм', 'Приключения']",['Бен Стассен'],"['Адриан Политковский', 'Бен Стассен', 'Жилль Уотеркейн', 'Надя Хамличи', 'Джереми Бурдек', 'Домоник Парис', 'Кэролайн Ван Айсегем', 'Эрик Дилленс', 'Джина Галло', 'Мими Мэйнард']",['Домоник Парис'],['Рамин Джавади'],[],[],[],[],"['2D', '3D']",2010,88.0,2465715.0,381921.0,,72100000.0,,2010,2010.0,2010.0,,
Большой собачий побег,https://www.filmpro.ru/movies/335941,9.5,213,"['большой', 'собачий', 'побег']","['Комедия', 'Мультфильм', 'Приключения']",['Альберто Родригез'],"['Филлис Лэйн', 'Джефф Белл', 'Ибон Корменсана']",['Хуан Рамно Руиз де Сомавиа'],['Фернандо Веласкес'],"['Канада', 'Испания']",[],[],[],[],2016,90.0,1086625.0,360078.0,,,,2016,,,,
Не бей копытом,https://www.filmpro.ru/movies/13542,9.5,360,"['бить', 'копытом']","['Комедия', 'Мультфильм', 'Семейный фильм']","['Уилл Финн', 'Джон Санфорд']","['Дэвид Дж. Стейнберг', 'Элис Дьюи']","['Донни Лонг', 'Джон Нортон', 'Уилл Финн', 'Кейт Бакстер', 'Ральф Зондаг', 'Ширли Пирс', 'Дон Холл', 'Брайан Пиментал', 'Марк Кеннеди', 'Джон Санфорд', 'Роберт Ленс', 'Майкл Лакер', 'Майк Кункель', 'Сэм Дж. Ливайн', 'Джейсон Летко', 'Майкл ЛаБаш', 'Дави Лью', 'Дэвид Моусес Пиментел']",['Алан Менкен'],['США'],['Х. Ли Петерсон'],['Дэвид Катлер'],[],[],2004,76.0,773751.0,0.0,,,,2004,2004.0,2009.0,,
Побег из курятника,https://www.filmpro.ru/movies/5136,9.5,216,"['побег', 'курятник']","['Комедия', 'Мультфильм', 'Приключения']","['Ник Парк', 'Питер Лорд']","['Джеффри Катценберг', 'Jacky Chrisp', 'Джэйк Эбертс']","['Марк Бертон', 'Кэри Киркпатрик', 'Джон О’Фэррелл']","['Гарри Грегсон-Уильямс', 'Джон Пауэлл']",[],[],[],"['Энди МакКормэк', 'Тристан Оливер', 'Саймон Джейкобс']",[],2000,84.0,75550.0,0.0,42000000.0,171893915.0,106793915.0,2001,2000.0,,,
Сезон охоты 3,https://www.filmpro.ru/movies/24661,9.5,220,"['сезон', 'охота']","['Комедия', 'Мультфильм', 'Приключения']",['Коуди Камерон'],['Кирк Бодифелт'],[],['Джефф Кардони'],[],"['Нэнси Фрэйзен', 'Джимми Сандовал', 'Артур Д. Нода']",[],[],[],2010,75.0,5259789.0,1113588.0,,,,2010,2010.0,,,
